,సినిమా పేరు,దర్శకుడు,నటులు,శైలి,తేదీ,సంవత్సరం,నెల
1093,కలెక్టర్ గారి అబ్బాయి,బి. గోపాల్,అక్కినేని నాగేశ్వరరావు,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1094,డబ్బెవరికి చేదు,రేలంగి నరసింహా రావు,రాజేంద్ర ప్రసాద్,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1095,డమ్మీస్ కథ అడ్డం తిరిగింది,కె. వాసు,రాజేంద్ర ప్రసాద్,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1096,చట్టబద్ధమైన భార్య,T. L. V. ప్రసాద్,సుమన్,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1097,దొంగ గారు స్వాగతం,జి. రాం మోహన రావు,కృష్ణుడు,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1098,దొంగ మొగుడు,ఆ. కోదండరామి రెడ్డి,చిరంజీవి,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1099,గాంధీనగర్ రెండవ వీధి,పి.ఎన్. రామచంద్రరావు,రాజేంద్ర ప్రసాద్,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1100,గుండమ్మ గారి కృష్ణులు,రేలంగి నరసింహా రావు,రాజేంద్ర ప్రసాద్,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1102,కాబోయే అల్లుడు,రేలంగి నరసింహా రావు,రాజేంద్ర ప్రసాద్,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1103,నేను దానిని ద్వేషిస్తున్నాను,ఆ. కోదండరామి రెడ్డి,అక్కినేని నాగార్జున,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1104,లాయర్ సుహాసిని,విఎంసి,భాను చందర్,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1105,న్యాయవాది భారతీదేవి,కె. రామమోహన్ రావు,శారద,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1107,మా వూరి మగడు,కె. బాపయ్య,కృష్ణుడు,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1108,మదన గోపాలుడు,P. S. కృష్ణమోహన్ రెడ్డి,రాజేంద్ర ప్రసాద్,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1109,మహర్షి,విఎంసి,శాంతి ప్రేమికుడు,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1110,మజ్ను,దాసరి నారాయణరావు,అక్కినేని నాగార్జున,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1111,మకుటంలేని మహారాజు,కె. బాపయ్య,కృష్ణుడు,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1112,మన్మధ లీల కామరాజు గోల,రేలంగి నరసింహా రావు,రాజేంద్ర ప్రసాద్,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1113,నువ్వు చనిపొతావు,కె.ఎస్.ఆర్,కృష్ణుడు,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1115,మువ్వ గోపాలుడు,కోడి రామకృష్ణ,నందమూరి బాలకృష్ణ,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1116,నాకు పెళ్ళాం కావాలి,విజయ బాపినీడు,రాజేంద్ర ప్రసాద్,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1117,పసివాడి ప్రాణం,ఆ. కోదండరామి రెడ్డి,చిరంజీవి,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1118,సామ్రాట్ ప్రకారం,మోహన్ గాంధీ,సుమన్,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1119,ప్రెసిడెంట్ గారి అబ్బాయి,కోడి రామకృష్ణ,బాలకృష్ణ,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1120,పుష్పక విమానం,సింగీతం శ్రీనివాసరావు,కమల్ హాసన్,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1122,సాధారణంగా చక్రవర్తి,కె. రాఘవేంద్రరావు,బాలకృష్ణ,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1123,సంసారం ఒక చదరంగం,S. P. ముత్తురామన్,గొల్లపూడి మారుతీ రావు,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1124,సంకీర్తన,గీతా కృష్ణ,అక్కినేని నాగార్జున,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1125,శంఖర్వాన్,కృష్ణుడు,"కృష్ణ,",కాదు_నిర్దిష్ట,1941-01-01,1987,1
1126,సర్దార్ ధర్మన్న,బరిశెట్టి భాస్కర రావు,కృష్ణం రాజు,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1127,సర్దార్ కృష్ణం నాయుడు,ఆ. కోదండరామి రెడ్డి,కృష్ణుడు,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1128,శంకర్ గురు,రాజా,అర్జున్ సిరీస్,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1129,శ్రీమతి ఒక బహుమతి,అంతా,నరేష్,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1130,శ్రీనివాస కళ్యాణం,కోడి రామకృష్ణ,దగ్గుబాటి వెంకటేష్,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1131,ట్యూన్ చేయడానికి,కె. విశ్వనాథ్,రాజశేఖర్,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1132,స్వయంకృషి,కె. విశ్వనాథ్,చిరంజీవి,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1133,తండ్రీ కొడుకుల ఛాలెంజ్,ఎం. మల్లికార్జునరావు,కృష్ణుడు,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1135,త్రిమూర్తుల్లో,కె. మురళీ మోహన్ రావు,దగ్గుబాటి వెంకటేష్,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1136,విజేత విక్రమ్,S. S. రవిచంద్ర,దగ్గుబాటి వెంకటేష్,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1137,విశ్వనాథ నాయకుడు,దాసరి నారాయణరావు,మోహన్ బాబు,కాదు_నిర్దిష్ట,1941-01-01,1987,1
1138,త్యాగం,కోడి రామకృష్ణ,రాజశేఖర్,కాదు_నిర్దిష్ట,1941-01-01,1988,1
1139,ఆఖరి పోరాటం,కె. రాఘవేంద్రరావు,అక్కినేని నాగార్జున,కాదు_నిర్దిష్ట,1941-01-01,1988,1
1140,అభినందన,అశోక్ కుమార్,కార్తీక్,కాదు_నిర్దిష్ట,1941-01-01,1988,1
1141,అగ్ని కెరటాలు,తాతినేని రామారావు,కృష్ణుడు,కాదు_నిర్దిష్ట,1941-01-01,1988,1
1142,అంతిమ తీర్పు,జోషి,కృష్ణం రాజు,కాదు_నిర్దిష్ట,1941-01-01,1988,1
1143,ఆస్తులు అంతస్తులు,బైరిశెట్టి భాస్కర రావు,రాజేంద్ర ప్రసాద్,కాదు_నిర్దిష్ట,1941-01-01,1988,1
1144,అశ్వద్ధామ,బి. గోపాల్,కృష్ణుడు,కాదు_నిర్దిష్ట,1941-01-01,1988,1
1145,బావ మరుదుల సవాల్,C. V. గణేష్,రాజేంద్ర ప్రసాద్,కాదు_నిర్దిష్ట,1941-01-01,1988,1
1146,బజార్ రౌడీ,ఆ. కోదండరామి రెడ్డి,"రమేష్ బాబు,",కాదు_నిర్దిష్ట,1941-01-01,1988,1
1147,భామా కలాపం,రేలంగి నరసింహా రావు,రాజేంద్ర ప్రసాద్,కాదు_నిర్దిష్ట,1941-01-01,1988,1
1148,భారతంలో బాల చంద్రుడు,కోడి రామకృష్ణ,నందమూరి బాలకృష్ణ,కాదు_నిర్దిష్ట,1941-01-01,1988,1
1149,భార్య భర్తల భాగోతం,మహేష్ కుమార్,రాజేంద్ర ప్రసాద్,కాదు_నిర్దిష్ట,1941-01-01,1988,1
1150,బ్రహ్మ పుత్రుడు,దాసరి నారాయణరావు,దగ్గుబాటి వెంకటేష్,కాదు_నిర్దిష్ట,1941-01-01,1988,1
1152,దాల్చిన చెక్క,మోహన్ గాంధీ,అక్కినేని నాగార్జున,కాదు_నిర్దిష్ట,1941-01-01,1988,1
1153,చిన్నోడు పెద్దోడు,రేలంగి నరసింహా రావు,రాజేంద్ర ప్రసాద్,కాదు_నిర్దిష్ట,1941-01-01,1988,1
1154,చూపులు కలసిన శుభవేళా,జంధ్యాల,మోహన్,కాదు_నిర్దిష్ట,1941-01-01,1988,1
1155,చుట్టాలబ్బాయి,కోడి రామకృష్ణ,కృష్ణుడు,కాదు_నిర్దిష్ట,1941-01-01,1988,1
1157,దొంగ కిల్,విజయ బాపినీడు,రాజేంద్ర ప్రసాద్,కాదు_నిర్దిష్ట,1941-01-01,1988,1
1158,దొంగ పెళ్లి,రవి రాజా పినిశెట్టి,శోభన్ బాబు,కాదు_నిర్దిష్ట,1941-01-01,1988,1
